Satisfaction,Segment,Reclamations,Revenu,behavior_score_1,behavior_score_2,behavior_score_3,behavior_score_4,behavior_score_5,behavior_score_6,behavior_score_7,behavior_score_8,behavior_score_9,behavior_score_10,behavior_score_11,behavior_score_12,behavior_score_13,behavior_score_14,behavior_score_15,behavior_score_16,behavior_score_17,behavior_score_18,behavior_score_19,behavior_score_20,behavior_score_21,behavior_score_22,behavior_score_23,behavior_score_24,behavior_score_25,behavior_score_26,behavior_score_27,behavior_score_28,behavior_score_29,behavior_score_30,behavior_score_31,behavior_score_32,behavior_score_33,behavior_score_34,behavior_score_35,behavior_score_36,behavior_score_37,behavior_score_38,behavior_score_39,behavior_score_40,behavior_score_41,behavior_score_42,behavior_score_43,behavior_score_44,behavior_score_45,behavior_score_46,behavior_score_47,behavior_score_48,behavior_score_49,behavior_score_50,Churn_Y
3.8583836908002493,Segment_B,4,55960.56983613479,55449.55510432825,56825.51100852953,55752.72875894698,57224.939992064195,55132.23526971333,57236.77659979411,54978.39731337982,55810.34632917593,56479.102450657876,54143.42506712477,50925.90399805348,59214.73526404509,57964.81044980456,49602.96938716091,50587.90730733904,51449.03495081224,42892.668176278705,54981.95930075704,59925.13505425972,54914.44428871777,48112.55036452257,51656.78317142059,58626.20072903455,57548.46811063463,64477.72094000687,51831.77935903749,55177.91810901418,62018.10688151768,60362.47015120082,55382.91238453542,67488.70109604132,66111.30556776575,46126.31871027348,46346.47817705765,50833.69449039357,39431.58661090632,59562.06034444773,43686.427782965235,57159.64014938582,45418.88422003007,31147.30261922913,61186.70826007355,48712.80675449787,68758.88097607315,54090.65453393725,56181.718731808,37124.90993735734,54983.22193966225,48870.56034337114,61827.48799012568,0
3.640789506870925,Segment_C,5,48340.82838594578,48324.16407627679,46857.8416858694,48967.41411427785,47201.54971934745,49290.22611257905,48179.30413622877,49068.486537580284,46531.313372665754,47506.21393259903,50567.1145019737,52507.355927255485,39834.27161799516,49041.19733551021,40767.641745670815,48984.072312382465,52322.30762721817,47366.58679668492,44834.21397901008,53180.710417181705,49692.67591819143,48686.91328524483,41149.25033948602,46929.97696114154,57110.1342825458,40043.62704285853,36527.9599743358,44971.49626957218,40644.12594121049,42004.86022500825,39245.444406585564,44655.89237959941,56713.91958664637,38283.627998744996,64811.57205118626,54990.760059693785,65940.963401964,28317.95138850353,39648.10905967456,42691.745573504835,57250.335349057226,13503.219508640846,68555.5011506341,54524.58468518533,52655.31967400356,42618.31281459402,59306.3136705897,58551.15387228019,54556.32385272718,64495.88374034266,65853.47573074247,0
2.1197355877837714,Segment_A,2,57772.26245720831,57887.4820918901,57294.12530392602,59436.32294265912,60931.120935013176,58076.646988485256,60364.47344501736,57673.72924156202,57098.64227272805,58132.82290012047,58670.14019842778,55951.130575763236,54137.23192025253,59139.71984437519,51118.89149658525,65568.57995489122,56841.89699109885,70076.60110743418,64907.30423148257,56096.65085552247,55555.10088420816,53301.90937228852,52592.833863565465,69885.0447755852,54077.24863271185,51588.40624575075,60280.689505654365,50111.71936556438,69157.98198649447,76608.25024712575,53135.29691293412,67708.19026056267,54747.429837744865,44025.691174279316,54487.57528138931,58009.886410315434,53747.366150526985,31221.548589333743,69586.11542683457,36932.709007960395,50121.21195229674,67784.22703764052,54180.07481847893,23912.122429982264,39433.51921842324,53652.21304321816,71208.2494993126,75971.95623733454,68423.58919810511,86581.87010195502,46912.791500191495,0
4.819461122652776,Segment_D,8,68276.3582768963,68266.54985246807,68622.60155320461,69290.26680348927,68868.33975795336,66002.74210440044,67058.8521331896,69278.14401406485,64213.26192282737,67864.68971866883,72181.58214509269,76718.41591960152,70505.313616515,70184.18808447219,69398.29021114453,78317.20893476314,67006.68703860536,72277.84014517622,75942.21450126993,67868.24254130531,67487.52270286629,60347.77733964169,65831.0048262021,79130.1943808788,63107.342263513565,63711.93535259854,81964.83623574478,73203.15242954454,78106.02743414776,78634.13104768559,82048.11506666646,73894.68255006951,62787.59627411811,52433.67434230957,81795.7657896661,53517.94621140529,65655.21180038326,77653.35384807317,61487.2600158003,42179.882453140126,70876.55570446773,69858.35291687738,70023.28759164335,101158.58351935491,65693.1376657572,82409.66750248618,61327.09753596979,104765.87480367895,105313.09084882385,74900.3701035377,58611.25427156653,0
3.951587666783074,Segment_D,4,47190.15950331997,46569.92687330801,47068.33227169418,46948.15968182062,47411.96285175382,49511.41730531506,50431.85228255944,47351.485474546505,46954.14439901257,49102.05293037916,51874.69309350053,45328.14242775059,54597.143194282085,49665.57323071087,49326.80460088569,50061.38945980338,37571.620154167555,47091.93156667456,43947.87224833096,38538.27914723936,52146.442531969005,45822.95208564644,37913.417176740935,43976.101076404644,45530.38220202216,43222.82669283986,47333.692223430786,36521.39095175263,48318.25008020143,49039.55356982024,53174.50396403564,68613.99989789451,50383.19160243226,35139.06085033722,32840.64640644508,36847.73168224131,26778.049654544186,47128.440243826386,57456.236584900114,49842.365210706754,43549.95869359436,44414.586020559276,33504.968133634204,54040.39612745528,61183.344070114355,42664.36439810161,45111.686101426894,30274.03326554796,14798.33216282897,48406.92118896573,6103.0564112578795,0
3.2174162100456027,Segment_A,7,47190.356516609834,47163.620504756,47413.044040632616,46194.48319874233,46160.32718039238,49884.17302625312,47118.072205450015,44496.07284581384,44817.73785944763,49773.45277195521,47286.36896380714,47799.37581716006,47265.213864241305,51518.18590023911,40549.355568074876,49444.15665385989,50240.36306161412,45849.61328764767,37111.040779262505,45155.29007201216,44569.77109318053,45246.91494933817,47293.43752067722,46149.57630679964,55684.37801680695,39266.17419590794,48947.41663114072,53476.18261874199,47858.97856056854,56125.1370074915,38869.279487206935,33431.5252414104,56148.3860110841,48769.035333970714,53166.579368489256,49276.49661685761,42278.57356893075,60271.84737337233,66563.92672290912,40620.13088454152,44563.96149578233,64275.3561810518,36250.26840047084,49110.86728714805,46510.25386008451,29085.982887038655,36617.889054182575,57045.124076248954,55956.14900000144,47731.06416427108,64982.538627244314,0
3.446882984937409,Segment_B,0,68950.5537860887,68559.21293593725,68588.1626740592,71266.57760901358,69790.9256413795,68031.37075036211,66375.1586022762,71042.7141069277,66301.93942477086,66828.38224271723,66690.30017505014,74039.51662956268,66329.74319766382,70548.8465481099,72709.71470520839,60845.793982401374,63002.11349079203,69065.12983943014,74391.12771120807,74025.73781815148,59311.09118165662,84238.86765006548,74905.58313308057,68440.3155833908,70348.12872895287,78123.67678930363,74353.79127600021,60832.59593278223,73604.63906346232,78571.88747799728,54572.16125972981,80661.42291610593,66812.43505863327,60111.95738271905,61435.498399422955,68120.34669651085,57720.64325099835,53705.78171852448,64370.09047895407,62479.40292819335,78145.46948657482,76789.64738727249,70183.00127906437,84192.77732789569,75591.34665192215,78989.85275588103,53383.290529742524,63172.356248599885,60927.87354104857,33901.24399093824,92055.41348338699,0
2.6784002497111596,Segment_A,4,59209.2167498349,59410.11851448391,59261.17062231864,59262.51334044794,58518.45135834957,58627.66440993093,59439.80469667432,58172.32792519614,59640.96271260325,55614.8877752289,60589.13317865225,65829.32328076,58550.78956185748,58268.31189682258,57180.36033276445,56767.1846510318,59496.89337511328,61999.52423722847,55512.21569073088,62487.88534164233,69706.72017506743,61936.86364960729,53218.02596086523,56092.7663643335,55384.47382866019,57267.808747061164,49308.43887677065,53114.49132727532,51970.91095968233,54302.873603728185,56266.06089134696,69871.11684456166,69434.86762069301,64293.99994572275,44773.49139220819,53128.413598659565,52646.636219801396,64980.130498604056,66976.74727279338,67350.8236672322,46726.89211204412,79089.70727531447,73118.77943827893,89442.35403111776,55001.738988585945,56443.381787661216,63485.76470528766,70254.57456822375,50764.838605836565,70162.93445482172,50911.558069625855,0
1.9909239580046298,Segment_A,2,44366.30736878057,44476.286842609625,44272.901027545326,44378.843731502224,44512.719146355004,44795.10545486793,43140.414385325785,41097.4853815951,47707.11285600761,39408.55286140167,42333.161259524255,51169.26917168069,49315.862477714036,46989.34480347123,44982.83801911988,40821.2804851935,45697.71667097989,38344.16201070546,48635.685604259525,47220.10198065347,52655.03184092349,35687.317114028876,54393.58126481625,45711.97975857465,47850.21925733446,47010.09463145717,57645.921702191496,32485.34732479359,44618.57179375886,37265.21734126548,42445.19635462663,35313.88417512915,58311.4281254479,44709.973481430934,46595.35460137222,39317.55257890479,42883.34893826067,65110.18539881734,31214.215361506187,58095.58200538018,67708.64826010377,27235.661061126517,41137.16898321076,55598.939083970974,30772.790968028217,44790.15155347306,26790.826798147504,23632.40469641994,35441.58872192474,46338.553683919476,40557.03177282205,0
2.4238907146050463,Segment_A,0,56510.720523031574,56228.756587133365,57211.38976002746,56489.00794463257,59582.82196895413,57012.40570801211,58023.87891121128,55611.67868500316,58714.68037743712,57882.29710569544,62550.88226561144,60498.329083988945,54185.24947818325,63920.260069122916,63282.04716170436,53716.906330901555,63041.8817830571,62193.76116584282,45872.159907387664,56794.43053996305,48757.14435239786,52952.64429675464,59881.9483073137,51278.574247707205,48574.21704420933,52233.08527492897,58088.88513512943,52449.36313325792,38430.69874831446,57190.56517086751,60976.51320930142,65877.06055223195,47714.03969992675,37022.52880999484,66807.33276671046,63820.48449320411,66854.86995933895,61169.452775797225,65114.680121004596,53321.94728309841,34657.68769149762,56085.74784839782,53538.17225369881,68750.40946751548,54882.57887762292,78213.02765942496,50788.86929513986,38705.66668568182,43424.43726339676,62807.34866774423,45202.788817667155,0
